id,restaurant_id,name,description,category,base_type,meat_type,size_or_variant,price_pln,spicy,is_vege,image_url,available,created_at
89a2f6a5-3bfd-43f0-8822-423ab2650c38,fc844513-2869-4f42-b04f-c21e1e4cceb7,Mango Sok,,Napoje,,,,6.00,false,false,,true,2025-10-29 22:45:07.983357+00
8a6b0046-6c97-4f1f-a520-3d25ab1704c1,1fc1e782-bac6-47b2-978a-f6f2b38000cd,"Coca-Cola, Fanta, Sprite, Cappy (200 ml)","Napój, 200 ml",Napój,napój,vege,200ml,7.00,false,true,,true,2025-10-26 15:46:12.980509+00
8b349d28-7518-46da-9fd5-4d43d9748f4e,af8448ef-974b-46c8-a4ae-b04b8dc7c9f8,Sałatka Hubertusa z pieczywem czosnkowym,"Sałatka mix: grillowany kurczak, camembert, warzywa, pieczywo czosnkowe",Sałatka,sałatka,mięsne,,38.00,false,false,,true,2025-10-26 13:36:05.238998+00
8bc94398-8056-4cc2-bf60-a43dec30a61d,70842598-1632-43f6-8015-706d5adf182f,Kalmary chrupiące w pięciu smakach,Z ryżem i surówką,Kalmary,,,,25.00,false,false,,true,2025-10-29 21:37:37.603105+00
8dcb0a80-df84-4c1e-9035-ed3570ce66a8,1fc1e782-bac6-47b2-978a-f6f2b38000cd,Zupa dnia,Zupa dnia,Zupa,zupa,dowolne,,9.00,false,true,,true,2025-10-26 15:44:41.653605+00
8de072df-9eed-4b2d-88a1-d2937d2e493e,83566974-1017-4408-90ee-2571ccc06978,Pollo,"Sos śmietanowy, ser mozzarella, kurczak, brokuły, cebula",Pizza,,,,34.00,false,false,,true,2025-10-29 14:49:19.136917+00
8e6ce7ec-d046-48a5-a31b-b210747c6434,af8448ef-974b-46c8-a4ae-b04b8dc7c9f8,Flaki z indyka,"Flaki z indyka, 230ml",Zupa,zupa,mięsne,,24.00,false,false,,true,2025-10-26 13:25:49.038306+00
8ed5ff4a-8f10-4b0b-bc6c-b6c801254f23,1fc1e782-bac6-47b2-978a-f6f2b38000cd,Filet z kurczaka po hawajsku,"Filet, ananas, ser, sos, ziemniaki, surówka",Danie główne,kurczak,mięsne,,19.00,false,false,,true,2025-10-26 15:49:25.550641+00
91088af5-2a2a-4bb3-96af-8907fcd4471e,83566974-1017-4408-90ee-2571ccc06978,Diavola,"Sos pomidorowy, ser mozzarella, pikantne salami, papryczki jalapeño",Pizza,,,,34.00,false,false,,true,2025-10-29 14:49:19.136917+00
9227713f-02a3-43e6-8f98-727603693a36,bd9f2244-7618-4071-aa96-52616a7b4c70,Filet Grillowany,"Filet grillowany, frytki, mix sałat z sosem winegret",Obiad,obiad,mięsne,,40.00,false,false,,true,2025-10-26 11:51:52.659681+00
94a1e6c6-353e-4a2d-83e1-958f15bd5613,1fc1e782-bac6-47b2-978a-f6f2b38000cd,Rosół z makaronem,Rosół z makaronem,Zupa,rosół,mięsne,,10.00,false,false,,true,2025-10-26 15:44:41.653605+00
94bda615-67a8-4a8f-91e9-056a06516333,70842598-1632-43f6-8015-706d5adf182f,Wieprzowina po tajsku,Z ryżem i surówką,Wieprzowina,,,,21.00,false,false,,true,2025-10-29 21:37:37.603105+00
95c82914-a56b-463a-9eb5-acf6fb66329e,569a7d29-57be-4224-bdf3-09c483415cea,Rodzina Serano Double,"Bułka maślana, wołowina 400g, ser cheddar, mozzarella, camembert, czerwona cebula, sos czosnkowy, sos BBQ",Burger,burger,mięsne,double,47.00,false,false,,true,2025-10-29 21:29:06.527172+00
98f101f9-5890-41ea-826a-1341b9f82d23,bd9f2244-7618-4071-aa96-52616a7b4c70,Pulled Pork Bowl Pikantny,"Szarpana wieprzowina, frytki, mix sałat z sosem winegret",Obiad,obiad,mięsne,,46.00,true,false,,true,2025-10-26 11:51:52.659681+00
9a1da01f-03f5-44de-85c2-483c2ae10928,8b00b05e-72f7-4a5f-b50c-5630a75d6312,Coca-Cola,"Napój gazowany, 0.5 l",Napoje,napój,,0.5 l,10.00,false,true,,true,2025-10-25 02:07:59.866597+00
9c920acb-7fa5-4f69-9e70-29674ac83bff,4d27fbe3-20d0-4eb4-b003-1935be53af25,Makaron ryżowy z warzywami,"Sos mango-kokos, tofu wędzone, groszek cukrowy",Makaron,makaron ryżowy,vege,,37.00,false,true,,true,2025-10-26 15:26:50.444305+00
9dfb221f-313e-4e0d-b5f8-39b18f164744,af8448ef-974b-46c8-a4ae-b04b8dc7c9f8,Stek z halibuta smażony na maśle,Halibut smażony na maśle (VEGE),Ryba,ryba,vege,,35.00,false,true,,true,2025-10-26 13:34:24.025731+00
9ea9a9d9-4af4-474a-b209-be99c1482151,af8448ef-974b-46c8-a4ae-b04b8dc7c9f8,Żur śląski w chlebie,"Żur śląski podawany w chlebie, 230 ml",Zupa,zupa,mięsne,,29.00,false,false,,true,2025-10-26 13:25:49.038306+00
a031b926-01ef-4c01-bdac-8b89d9d00873,1fc1e782-bac6-47b2-978a-f6f2b38000cd,Rolada wołowa (na zamówienie),Rolada wołowa z ziemniakami i surówką,Danie główne,rolada,mięsne,,27.00,false,false,,true,2025-10-26 15:51:06.643942+00
